"alphat","p","T","Un:0","Un:1","Un:2","U:0","U:1","U:2","Us:0","Us:1","Us:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-2.0617047994165e-05,2.000497341156,0.029882119968534,-9.7393989562988e-05,0,0.00029476123745553,-9.6916744951159e-05,0,-0.050592698156834,-9.6095929620788e-05,0,1,0.00023500001407228,0.0074999998323619,0.00023500001407228,4.9999998736894e-05
0,-2.0617064365069e-05,2.000497341156,0.030413612723351,-9.9330791272223e-05,0,0.00082625501090661,-9.8852804512717e-05,0,-0.050061203539371,-9.8030715889763e-05,0,1,0.00024000000848901,0.0074999998323619,0.00024000000848901,4.9999998736894e-05
0,-2.0617078916985e-05,2.000497341156,0.030945107340813,-0.00010126759298146,0,0.0013577487552539,-0.00010078886407427,0,-0.049529708921909,-9.9965494882781e-05,0,1,0.00024500000290573,0.0074999998323619,0.00024500000290573,4.9999998736894e-05
0,-2.06170934689e-05,2.000497341156,0.031476601958275,-0.00010320440196665,0,0.0018892440712079,-0.00010272493091179,0,-0.048998214304447,-0.00010190028842771,0,1,0.00025000001187436,0.0074999998323619,0.00025000001187436,4.9999998736894e-05
0,-2.0617249901989e-05,2.000497341156,0.031982272863388,-0.00010400304745417,0,0.0023949160240591,-0.0001035268578562,0,-0.048492543399334,-0.00010270786151523,0,1,0.000255000020843,0.0074999998323619,0.000255000020843,4.9999998736894e-05
0,-2.0617406335077e-05,2.000497341156,0.032487943768501,-0.00010480168566573,0,0.0029005848336965,-0.0001043287848006,0,-0.047986872494221,-0.00010351543460274,0,1,0.00026000000070781,0.0074999998323619,0.00026000000070781,4.9999998736894e-05
0,-2.0617564587155e-05,2.000497341156,0.032993614673615,-0.00010560033115325,0,0.0034062569029629,-0.00010513071174501,0,-0.047481201589108,-0.00010432300769025,0,1,0.00026500000967644,0.0074999998323619,0.00026500000967644,4.9999998736894e-05
0,-2.0617721020244e-05,2.000497341156,0.033499289304018,-0.00010639897664078,0,0.0039119287393987,-0.00010593263868941,0,-0.046975530683994,-0.00010513058805373,0,1,0.00027000001864508,0.0074999998323619,0.00027000001864508,4.9999998736894e-05
0,-2.0617877453333e-05,2.000497341156,0.034004956483841,-0.00010719761485234,0,0.0044175977818668,-0.00010673455835786,0,-0.046469859778881,-0.00010593815386528,0,1,0.00027499999850988,0.0074999998323619,0.00027499999850988,4.9999998736894e-05
0,-2.0618033886421e-05,2.000497341156,0.034510627388954,-0.0001079962530639,0,0.0049232696183026,-0.00010753648530226,0,-0.045964188873768,-0.00010674572695279,0,1,0.00028000000747852,0.0074999998323619,0.00028000000747852,4.9999998736894e-05
0,-2.061819031951e-05,2.000497341156,0.035016302019358,-0.00010879489855142,0,0.0054289414547384,-0.00010833841224667,0,-0.045458517968655,-0.00010755330731627,0,1,0.00028500001644716,0.0074999998323619,0.00028500001644716,4.9999998736894e-05
0,-2.0618348571588e-05,2.000497341156,0.035521972924471,-0.00010959354403894,0,0.0059346132911742,-0.00010914033919107,0,-0.044952847063541,-0.00010836088040378,0,1,0.00029000002541579,0.0074999998323619,0.00029000002541579,4.9999998736894e-05
0,-2.0618505004677e-05,2.000497341156,0.036027643829584,-0.00011039218225051,0,0.0064402823336422,-0.00010994226613548,0,-0.044447176158428,-0.00010916845349129,0,1,0.0002950000052806,0.0074999998323619,0.0002950000052806,4.9999998736894e-05
0,-2.0618661437766e-05,2.000497341156,0.036533314734697,-0.00011119082773803,0,0.006945954170078,-0.00011074419307988,0,-0.043941505253315,-0.00010997602657881,0,1,0.00030000001424924,0.0074999998323619,0.00030000001424924,4.9999998736894e-05
0,-2.0618903363356e-05,2.000497341156,0.037000052630901,-0.00011049691238441,0,0.0074126911349595,-0.00011005732812919,0,-0.043474767357111,-0.00010930127609754,0,1,0.00030500002321787,0.0074999998323619,0.00030500002321787,4.9999998736894e-05
0,-2.0619147107936e-05,2.000497341156,0.037466786801815,-0.00010980300430674,0,0.0078794248402119,-0.00010937046317849,0,-0.043008033186197,-0.00010862653289223,0,1,0.00031000000308268,0.0074999998323619,0.00031000000308268,4.9999998736894e-05
0,-2.0619389033527e-05,2.000497341156,0.037933520972729,-0.00010910909622908,0,0.0083461618050933,-0.0001086835982278,0,-0.042541299015284,-0.00010795178241096,0,1,0.00031500001205131,0.0074999998323619,0.00031500001205131,4.9999998736894e-05
0,-2.0619630959118e-05,2.000497341156,0.038400258868933,-0.00010841518087545,0,0.0088128987699747,-0.00010799672600115,0,-0.04207456111908,-0.0001072770319297,0,1,0.00032000002101995,0.0074999998323619,0.00032000002101995,4.9999998736894e-05
0,-2.0619874703698e-05,2.000497341156,0.038866996765137,-0.00010772126552183,0,0.0092796357348561,-0.00010730986105045,0,-0.041607823222876,-0.00010660228144843,0,1,0.00032500002998859,0.0074999998323619,0.00032500002998859,4.9999998736894e-05
0,-2.0620116629289e-05,2.000497341156,0.03933373093605,-0.00010702735744417,0,0.0097463699057698,-0.00010662299609976,0,-0.041141089051962,-0.00010592753824312,0,1,0.00033000000985339,0.0074999998323619,0.00033000000985339,4.9999998736894e-05
0,-2.0620358554879e-05,2.000497341156,0.039800465106964,-0.0001063334493665,0,0.010213105939329,-0.00010593613114906,0,-0.040674354881048,-0.00010525278776186,0,1,0.00033500001882203,0.0074999998323619,0.00033500001882203,4.9999998736894e-05
0,-2.062060048047e-05,2.000497341156,0.040267203003168,-0.00010563953401288,0,0.01067984290421,-0.00010524926619837,0,-0.040207616984844,-0.00010457803728059,0,1,0.00034000002779067,0.0074999998323619,0.00034000002779067,4.9999998736894e-05
0,-2.062084422505e-05,2.000497341156,0.040733937174082,-0.00010494562593522,0,0.011146577075124,-0.00010456240124768,0,-0.039740882813931,-0.00010390328679932,0,1,0.00034500000765547,0.0074999998323619,0.00034500000765547,4.9999998736894e-05
0,-2.0621086150641e-05,2.000497341156,0.041200675070286,-0.00010425171058159,0,0.011613314040005,-0.00010387552902102,0,-0.039274144917727,-0.00010322853631806,0,1,0.00035000001662411,0.0074999998323619,0.00035000001662411,4.9999998736894e-05
0,-2.0621342628147e-05,2.000497341156,0.041590206325054,-0.00010196702351095,0,0.012002844363451,-0.0001016012247419,0,-0.038884613662958,-0.00010097207996296,0,1,0.00035500002559274,0.0074999998323619,0.00035500002559274,4.9999998736894e-05
0,-2.0621597286663e-05,2.000497341156,0.041979733854532,-9.9682358268183e-05,0,0.012392373755574,-9.9326935014687e-05,0,-0.03849508613348,-9.8715645435732e-05,0,1,0.00036000000545755,0.0074999998323619,0.00036000000545755,4.9999998736894e-05
0,-2.0621853764169e-05,2.000497341156,0.042369265109301,-9.7397678473499e-05,0,0.012781905010343,-9.7052638011519e-05,0,-0.038105554878712,-9.6459189080633e-05,0,1,0.00036500001442619,0.0074999998323619,0.00036500001442619,4.9999998736894e-05
